lipid_id,lipid_type,leaflet,bead_type,x,y,z,order_param,in_raft,is_pip,phase
0,CHOL,sup,HEAD,465.847,164.417,17.614,0.9,0,0,gel
0,CHOL,sup,TAIL1_0,466.453,166.488,17.749,0.9,0,0,gel
0,CHOL,sup,TAIL1_1,464.117,164.109,16.217,0.9,0,0,gel
0,CHOL,sup,TAIL1_2,467.307,162.688,14.548,0.9,0,0,gel
0,CHOL,sup,TAIL1_3,467.339,166.43,13.302,0.9,0,0,gel
0,CHOL,sup,TAIL1_4,464.197,164.387,11.824,0.9,0,0,gel
0,CHOL,sup,TAIL1_5,466.99,162.38,10.706,0.9,0,0,gel
0,CHOL,sup,TAIL1_6,467.848,165.884,8.999,0.9,0,0,gel
0,CHOL,sup,TAIL1_7,464.913,164.903,7.554,0.9,0,0,gel
0,CHOL,sup,TAIL1_8,466.219,163.037,6.324,0.9,0,0,gel
0,CHOL,sup,TAIL1_9,467.323,164.787,4.861,0.9,0,0,gel
0,CHOL,sup,TAIL1_10,465.397,165.044,3.255,0.9,0,0,gel
0,CHOL,sup,TAIL1_11,465.937,163.923,2.027,0.9,0,0,gel
1,CHOL,sup,HEAD,0.915,194.904,18.532,0.9,1,0,gel
1,CHOL,sup,TAIL1_0,2.837,196.25,18.522,0.9,1,0,gel
1,CHOL,sup,TAIL1_1,-0.601,196.788,16.868,0.9,1,0,gel
1,CHOL,sup,TAIL1_2,0.818,193.091,15.858,0.9,1,0,gel
1,CHOL,sup,TAIL1_3,3.275,195.968,14.296,0.9,1,0,gel
1,CHOL,sup,TAIL1_4,0.04,197.222,12.751,0.9,1,0,gel
1,CHOL,sup,TAIL1_5,-0.219,193.773,11.501,0.9,1,0,gel
1,CHOL,sup,TAIL1_6,2.94,194.519,9.989,0.9,1,0,gel
1,CHOL,sup,TAIL1_7,1.109,196.424,8.654,0.9,1,0,gel
1,CHOL,sup,TAIL1_8,-0.12,194.785,7.021,0.9,1,0,gel
1,CHOL,sup,TAIL1_9,1.985,194.63,5.816,0.9,1,0,gel
1,CHOL,sup,TAIL1_10,1.445,196.036,4.474,0.9,1,0,gel
1,CHOL,sup,TAIL1_11,0.564,195.068,2.542,0.9,1,0,gel
2,CHOL,sup,HEAD,83.824,159.863,21.322,0.9,1,0,gel
2,CHOL,sup,TAIL1_0,85.188,158.628,21.298,0.9,1,0,gel
2,CHOL,sup,TAIL1_1,84.339,162.016,20.073,0.9,1,0,gel
2,CHOL,sup,TAIL1_2,81.602,160.112,18.508,0.9,1,0,gel
2,CHOL,sup,TAIL1_3,84.381,158.257,17.141,0.9,1,0,gel
2,CHOL,sup,TAIL1_4,84.89,161.402,15.955,0.9,1,0,gel
2,CHOL,sup,TAIL1_5,81.511,160.885,14.291,0.9,1,0,gel
2,CHOL,sup,TAIL1_6,83.169,158.052,12.634,0.9,1,0,gel
2,CHOL,sup,TAIL1_7,84.95,160.46,11.333,0.9,1,0,gel
2,CHOL,sup,TAIL1_8,82.839,160.897,10.104,0.9,1,0,gel
2,CHOL,sup,TAIL1_9,83.134,158.806,8.633,0.9,1,0,gel
2,CHOL,sup,TAIL1_10,84.611,159.996,6.966,0.9,1,0,gel
2,CHOL,sup,TAIL1_11,83.318,160.827,5.528,0.9,1,0,gel
3,CHOL,sup,HEAD,134.202,100.744,19.109,0.9,1,0,gel
3,CHOL,sup,TAIL1_0,134.487,102.853,19.422,0.9,1,0,gel
3,CHOL,sup,TAIL1_1,132.7,99.794,18.018,0.9,1,0,gel
3,CHOL,sup,TAIL1_2,136.129,99.407,16.331,0.9,1,0,gel
3,CHOL,sup,TAIL1_3,135.034,102.508,14.949,0.9,1,0,gel
3,CHOL,sup,TAIL1_4,132.526,100.498,13.291,0.9,1,0,gel
3,CHOL,sup,TAIL1_5,135.617,98.512,11.941,0.9,1,0,gel
3,CHOL,sup,TAIL1_6,135.378,102.331,10.6,0.9,1,0,gel
3,CHOL,sup,TAIL1_7,133.414,101.024,9.121,0.9,1,0,gel
3,CHOL,sup,TAIL1_8,134.617,99.371,7.748,0.9,1,0,gel
3,CHOL,sup,TAIL1_9,135.48,101.174,6.244,0.9,1,0,gel
3,CHOL,sup,TAIL1_10,133.922,101.164,4.767,0.9,1,0,gel
3,CHOL,sup,TAIL1_11,134.283,99.94,3.724,0.9,1,0,gel
4,CHOL,sup,HEAD,5.146,263.797,19.881,0.9,1,0,gel
4,CHOL,sup,TAIL1_0,5.004,261.774,19.639,0.9,1,0,gel
4,CHOL,sup,TAIL1_1,7.097,264.747,18.537,0.9,1,0,gel
4,CHOL,sup,TAIL1_2,3.627,265.514,16.938,0.9,1,0,gel
4,CHOL,sup,TAIL1_3,3.541,261.873,15.36,0.9,1,0,gel
4,CHOL,sup,TAIL1_4,6.899,263.946,14.12,0.9,1,0,gel
4,CHOL,sup,TAIL1_5,4.494,265.628,13.014,0.9,1,0,gel
4,CHOL,sup,TAIL1_6,3.224,262.34,11.281,0.9,1,0,gel
4,CHOL,sup,TAIL1_7,6.179,263.117,9.793,0.9,1,0,gel
4,CHOL,sup,TAIL1_8,4.826,264.798,8.459,0.9,1,0,gel
4,CHOL,sup,TAIL1_9,3.747,263.438,7.086,0.9,1,0,gel
4,CHOL,sup,TAIL1_10,5.344,262.847,5.505,0.9,1,0,gel
4,CHOL,sup,TAIL1_11,5.078,264.491,4.383,0.9,1,0,gel
5,CHOL,sup,HEAD,414.401,130.959,19.078,0.9,1,0,gel
5,CHOL,sup,TAIL1_0,412.414,129.575,19.142,0.9,1,0,gel
5,CHOL,sup,TAIL1_1,415.929,129.102,17.453,0.9,1,0,gel
5,CHOL,sup,TAIL1_2,415.091,132.503,16.539,0.9,1,0,gel
5,CHOL,sup,TAIL1_3,412.094,130.628,14.957,0.9,1,0,gel
5,CHOL,sup,TAIL1_4,415.152,128.818,13.342,0.9,1,0,gel
5,CHOL,sup,TAIL1_5,415.873,132.127,12.304,0.9,1,0,gel
5,CHOL,sup,TAIL1_6,412.284,131.154,10.641,0.9,1,0,gel
5,CHOL,sup,TAIL1_7,414.455,129.739,9.168,0.9,1,0,gel
5,CHOL,sup,TAIL1_8,415.586,131.408,7.62,0.9,1,0,gel
5,CHOL,sup,TAIL1_9,413.448,131.288,6.369,0.9,1,0,gel
5,CHOL,sup,TAIL1_10,414.026,129.873,4.817,0.9,1,0,gel
5,CHOL,sup,TAIL1_11,415.043,130.678,3.752,0.9,1,0,gel
6,CHOL,sup,HEAD,369.781,395.519,15.681,0.9,0,0,gel
6,CHOL,sup,TAIL1_0,367.788,394.273,15.516,0.9,0,0,gel
6,CHOL,sup,TAIL1_1,371.02,393.463,14.173,0.9,0,0,gel
6,CHOL,sup,TAIL1_2,370.539,397.088,12.789,0.9,0,0,gel
6,CHOL,sup,TAIL1_3,367.678,395.381,11.371,0.9,0,0,gel
6,CHOL,sup,TAIL1_4,370.256,393.413,9.98,0.9,0,0,gel
6,CHOL,sup,TAIL1_5,371.214,396.672,8.241,0.9,0,0,gel
6,CHOL,sup,TAIL1_6,367.831,395.886,7.362,0.9,0,0,gel
6,CHOL,sup,TAIL1_7,369.606,394.084,5.701,0.9,0,0,gel
6,CHOL,sup,TAIL1_8,370.704,395.797,4.46,0.9,0,0,gel
6,CHOL,sup,TAIL1_9,368.328,396.15,2.945,0.9,0,0,gel
6,CHOL,sup,TAIL1_10,369.28,394.488,1.652,0.9,0,0,gel
6,CHOL,sup,TAIL1_11,370.442,395.244,-0.05,0.9,0,0,gel
7,CHOL,sup,HEAD,200.211,246.722,16.312,0.9,1,0,gel
7,CHOL,sup,TAIL1_0,198.397,246.52,16.537,0.9,1,0,gel
7,CHOL,sup,TAIL1_1,200.844,244.36,14.797,0.9,1,0,gel
7,CHOL,sup,TAIL1_2,201.832,247.859,13.417,0.9,1,0,gel
7,CHOL,sup,TAIL1_3,198.387,247.299,12.198,0.9,1,0,gel
7,CHOL,sup,TAIL1_4,199.99,244.469,10.882,0.9,1,0,gel
7,CHOL,sup,TAIL1_5,202.158,247.105,9.424,0.9,1,0,gel
7,CHOL,sup,TAIL1_6,199.108,247.982,7.718,0.9,1,0,gel
7,CHOL,sup,TAIL1_7,199.611,245.156,6.648,0.9,1,0,gel
7,CHOL,sup,TAIL1_8,201.547,246.383,5.059,0.9,1,0,gel
7,CHOL,sup,TAIL1_9,199.832,247.354,3.44,0.9,1,0,gel
7,CHOL,sup,TAIL1_10,199.547,245.843,2.186,0.9,1,0,gel
7,CHOL,sup,TAIL1_11,200.842,246.123,0.817,0.9,1,0,gel
8,CHOL,sup,HEAD,451.575,259.597,19.991,0.9,1,0,gel
8,CHOL,sup,TAIL1_0,451.521,257.427,19.995,0.9,1,0,gel
8,CHOL,sup,TAIL1_1,453.437,260.577,18.48,0.9,1,0,gel
8,CHOL,sup,TAIL1_2,449.714,261.053,17.207,0.9,1,0,gel
8,CHOL,sup,TAIL1_3,450.423,257.835,15.813,0.9,1,0,gel
8,CHOL,sup,TAIL1_4,453.496,259.83,14.553,0.9,1,0,gel
8,CHOL,sup,TAIL1_5,450.654,261.643,13.104,0.9,1,0,gel
8,CHOL,sup,TAIL1_6,449.791,257.979,11.296,0.9,1,0,gel
8,CHOL,sup,TAIL1_7,452.427,258.873,10.257,0.9,1,0,gel
8,CHOL,sup,TAIL1_8,451.225,260.735,8.85,0.9,1,0,gel
8,CHOL,sup,TAIL1_9,450.254,259.306,7.538,0.9,1,0,gel
8,CHOL,sup,TAIL1_10,451.742,258.959,5.843,0.9,1,0,gel
8,CHOL,sup,TAIL1_11,451.695,260.249,4.407,0.9,1,0,gel
9,CHOL,sup,HEAD,438.662,494.019,19.822,0.9,0,0,gel
9,CHOL,sup,TAIL1_0,439.884,492.696,19.96,0.9,0,0,gel
9,CHOL,sup,TAIL1_1,438.983,496.13,18.664,0.9,0,0,gel
9,CHOL,sup,TAIL1_2,436.55,494.725,16.775,0.9,0,0,gel
9,CHOL,sup,TAIL1_3,439.435,492.263,15.754,0.9,0,0,gel
9,CHOL,sup,TAIL1_4,439.844,495.626,14.265,0.9,0,0,gel
9,CHOL,sup,TAIL1_5,436.663,494.965,12.908,0.9,0,0,gel
9,CHOL,sup,TAIL1_6,438.598,492.169,11.206,0.9,0,0,gel
9,CHOL,sup,TAIL1_7,439.628,494.517,9.829,0.9,0,0,gel
9,CHOL,sup,TAIL1_8,437.635,495.128,8.543,0.9,0,0,gel
9,CHOL,sup,TAIL1_9,438.236,493.174,6.879,0.9,0,0,gel
9,CHOL,sup,TAIL1_10,439.208,494.284,5.599,0.9,0,0,gel
9,CHOL,sup,TAIL1_11,438.22,494.937,4.217,0.9,0,0,gel
10,CHOL,sup,HEAD,32.299,324.012,18.433,0.9,1,0,gel
10,CHOL,sup,TAIL1_0,30.107,323.205,18.372,0.9,1,0,gel
10,CHOL,sup,TAIL1_1,33.306,321.901,16.91,0.9,1,0,gel
10,CHOL,sup,TAIL1_2,33.895,324.848,15.464,0.9,1,0,gel
10,CHOL,sup,TAIL1_3,30.506,324.778,14.189,0.9,1,0,gel
10,CHOL,sup,TAIL1_4,32.006,321.771,12.673,0.9,1,0,gel
10,CHOL,sup,TAIL1_5,34.386,324.336,11.516,0.9,1,0,gel
10,CHOL,sup,TAIL1_6,31.075,325.062,10.004,0.9,1,0,gel
10,CHOL,sup,TAIL1_7,31.939,322.293,8.433,0.9,1,0,gel
10,CHOL,sup,TAIL1_8,33.401,323.569,7.159,0.9,1,0,gel
10,CHOL,sup,TAIL1_9,31.657,324.888,5.643,0.9,1,0,gel
10,CHOL,sup,TAIL1_10,31.669,323.22,4.157,0.9,1,0,gel
10,CHOL,sup,TAIL1_11,33.127,323.455,2.706,0.9,1,0,gel
11,CHOL,sup,HEAD,422.201,295.363,17.219,0.9,1,0,gel
11,CHOL,sup,TAIL1_0,419.845,294.462,17.21,0.9,1,0,gel
11,CHOL,sup,TAIL1_1,423.505,293.523,15.9,0.9,1,0,gel
11,CHOL,sup,TAIL1_2,422.557,297.202,14.396,0.9,1,0,gel
11,CHOL,sup,TAIL1_3,419.653,295.174,13.048,0.9,1,0,gel
11,CHOL,sup,TAIL1_4,422.937,293.45,11.543,0.9,1,0,gel
