type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,148.583,222.667,25.465,0.01249,-0.569303,-0.822033,0.0
lipid_HEAD,POPC,sup,0,0,fluid,257.006,419.559,20.251,0.054944,-0.453953,-0.88933,0.0
lipid_HEAD,POPC,sup,0,0,fluid,297.12,154.758,16.058,0.026807,-0.427503,0.903616,0.0
lipid_HEAD,POPC,sup,0,0,fluid,172.064,86.185,20.213,0.06187,-0.864065,-0.499564,0.0
lipid_HEAD,POPC,sup,0,0,fluid,254.022,99.546,14.173,0.023118,-0.593604,-0.804425,0.0
lipid_HEAD,POPC,sup,0,0,fluid,386.041,8.312,21.681,0.009324,-0.12298,0.992365,0.0
lipid_HEAD,POPC,sup,0,0,fluid,177.961,292.999,23.16,0.028807,0.293718,0.955458,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,217.796,498.851,17.559,0.041606,0.801175,0.596982,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,292.262,278.214,19.899,0.024052,-0.916443,0.399442,0.0
lipid_HEAD,POPC,sup,0,0,fluid,495.143,346.494,22.689,0.058405,0.998202,-0.013462,0.0
lipid_HEAD,POPC,sup,0,0,fluid,380.931,395.301,24.134,0.065593,-0.886956,0.457173,0.0
lipid_HEAD,POPC,sup,0,0,fluid,420.455,381.606,25.661,0.03983,0.75252,-0.657363,0.0
lipid_HEAD,POPC,sup,0,0,fluid,262.195,11.567,14.775,0.046813,0.973341,0.224534,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,412.792,235.659,22.114,0.05583,-0.486718,-0.871773,0.0
lipid_HEAD,POPC,sup,0,0,fluid,114.917,441.208,24.362,0.027325,-0.303697,-0.952377,0.0
lipid_HEAD,POPC,sup,0,0,fluid,15.42,162.799,22.609,0.065308,0.500437,0.863306,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,45.974,51.601,23.072,0.043689,0.95648,-0.288507,0.0
lipid_HEAD,POPC,sup,0,0,fluid,75.535,430.362,25.381,0.052279,-0.583259,-0.810602,0.0
lipid_HEAD,POPC,sup,0,0,fluid,492.522,234.684,24.388,0.041617,-0.790336,-0.611258,0.0
lipid_HEAD,POPC,sup,0,0,fluid,204.717,456.61,19.17,0.02422,0.643738,-0.764863,0.0
lipid_HEAD,POPC,sup,0,0,fluid,380.231,275.486,23.651,0.013761,-0.475396,0.879664,0.0
lipid_HEAD,POPC,sup,0,0,fluid,358.294,410.574,21.742,0.033166,-0.991043,0.129358,0.0
lipid_HEAD,POPC,sup,0,0,fluid,399.726,166.036,19.789,0.027881,-0.339711,0.940117,0.0
lipid_HEAD,POPC,sup,0,0,fluid,246.062,401.981,20.402,0.033546,-0.974911,-0.220052,0.0
lipid_HEAD,POPC,sup,0,0,fluid,456.362,271.761,22.662,0.023879,-0.847844,-0.529708,0.0
lipid_HEAD,POPC,sup,0,0,fluid,410.316,421.545,27.303,0.060399,0.774038,-0.630251,0.0
lipid_HEAD,POPC,sup,0,0,fluid,81.342,368.778,26.631,0.016366,0.999756,-0.014857,0.0
lipid_HEAD,POPC,sup,0,0,fluid,198.533,144.208,19.811,0.035779,-0.989158,-0.142427,0.0
lipid_HEAD,POPC,sup,0,0,fluid,25.901,271.401,24.625,0.067161,-0.965114,-0.253071,0.0
lipid_HEAD,POPC,sup,0,0,fluid,426.389,12.414,24.569,0.058473,-0.507083,0.859912,0.0
lipid_HEAD,POPC,sup,0,0,fluid,271.319,351.746,19.729,0.02244,0.914558,-0.403831,0.0
lipid_HEAD,POPC,sup,0,0,fluid,472.982,273.074,22.925,0.027493,-0.217022,-0.97578,0.0
lipid_HEAD,POPC,sup,0,0,fluid,425.167,61.498,23.839,0.060925,-0.52727,-0.847511,0.0
lipid_HEAD,POPC,sup,0,0,fluid,229.007,278.162,20.017,0.026708,0.921574,-0.387284,0.0
lipid_HEAD,POPC,sup,0,0,fluid,86.737,210.505,25.56,0.054666,0.47552,-0.878005,0.0
lipid_HEAD,POPC,sup,0,0,fluid,395.304,388.357,26.924,0.020745,-0.747158,-0.664323,0.0
lipid_HEAD,POPC,sup,0,0,fluid,26.068,240.258,25.813,0.048656,-0.998786,-0.007746,0.0
lipid_HEAD,POPC,sup,0,0,fluid,359.306,159.445,18.93,0.021279,-0.999771,-0.002239,0.0
