type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,CHOL,sup,0,0,gel,313.655,293.317,20.892,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,459.887,206.797,17.831,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,250.893,166.987,18.46,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,404.455,280.329,18.399,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,429.42,195.841,18.516,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,127.001,422.322,15.981,0.707107,-0.706866,0.018436,0.0
lipid_HEAD,CHOL,sup,1,0,gel,307.359,175.027,22.096,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,69.791,459.082,19.786,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,449.43,493.686,18.545,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,231.96,476.631,14.93,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,100.937,349.831,15.759,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,293.621,73.881,16.357,0.707107,0.667105,-0.234457,0.0
lipid_HEAD,CHOL,sup,1,0,gel,341.437,12.191,19.172,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,327.182,196.599,22.001,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,144.906,34.009,14.293,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,495.735,494.796,18.891,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,296.049,137.478,20.678,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,467.569,129.122,19.1,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,471.719,409.963,17.892,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,391.386,373.297,20.535,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,489.107,390.656,20.187,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,364.459,248.718,17.937,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,474.869,245.841,14.894,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,9.183,149.246,16.202,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,385.822,494.351,18.062,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,292.029,119.013,19.912,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,99.454,198.338,15.588,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,17.606,380.744,20.53,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,126.907,392.845,17.541,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,0.236,459.49,18.088,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,381.525,466.31,18.543,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,180.906,301.351,20.989,0.707107,0.624565,-0.331539,0.0
lipid_HEAD,CHOL,sup,0,0,gel,474.888,321.485,15.219,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,418.09,232.269,19.408,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,285.992,114.812,19.072,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,469.639,178.55,16.276,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,449.918,463.577,19.037,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,10.57,401.68,20.044,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,381.964,349.431,18.677,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,471.633,296.233,16.725,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,43.622,429.962,22.804,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,31.3,66.109,19.531,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,60.568,404.438,21.786,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,184.491,385.318,17.123,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,233.517,464.619,15.027,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,169.169,23.706,12.112,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,440.894,235.638,18.684,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,499.852,332.312,15.996,0.0,1.0,0.0,0.0
